analytical,estimate [X],estimate [Y],estimate [Z],P [X],P [Y],P [Z],Cd [X],Cd [Y],Cd [Z],avg_steps,rand_count,
0.032663192600011826,0.0327240452170372,0.0327240452170372,0.0327240452170372,0.15912455320358276,0.20526808500289917,0.8265620470046997,0.5,0.4696999788284302,0.5303000211715698,78.6552734375,2737438,
0.18736734986305237,0.12926189601421356,0.12926189601421356,0.12926189601421356,0.9874192476272583,0.18975460529327393,0.1068711206316948,0.5,0.38031303882598877,0.6196869611740112,105.333984375,3666284,
-0.4619397521018982,-0.43889084458351135,-0.43889084458351135,-0.43889084458351135,-0.5555702447891235,0.8314695954322815,0.0,0.5,0.9063804149627686,0.09361960738897324,61.888671875,2153692,
-0.04589973762631416,-0.05600184202194214,-0.05600184202194214,-0.05600184202194214,-0.22732271254062653,0.20191442966461182,0.6864694356918335,0.5,0.5518535375595093,0.44814643263816833,68.4765625,2383056,
0.3465471565723419,0.2755747139453888,0.2755747139453888,0.2755747139453888,0.5402015447616577,0.6415145397186279,-0.7657226324081421,0.5,0.24483823776245117,0.7551617622375488,99.8916015625,3476802,
-0.4619397521018982,-0.38916531205177307,-0.38916531205177307,-0.38916531205177307,0.5555702447891235,-0.8314695954322815,0.0,0.5,0.8603382110595703,0.1396617591381073,84.154296875,2928892,
-0.5210404992103577,-0.37338241934776306,-0.37338241934776306,-0.37338241934776306,0.7490298748016357,-0.6956204175949097,0.3439916968345642,0.5,0.8457244634628296,0.1542755514383316,98.8818359375,3441646,
-0.49828004837036133,-0.40872636437416077,-0.40872636437416077,-0.40872636437416077,0.9039580821990967,-0.5512202978134155,-0.44557416439056396,0.5,0.878450334072113,0.12154968082904816,107.58984375,3744824,
0.0,-0.014556859619915485,-0.014556859619915485,-0.014556859619915485,1.062599539756775,0.0,0.36014142632484436,0.5,0.5134786367416382,0.4865213930606842,116.4150390625,4052082,
-0.49828004837036133,-0.41923758387565613,-0.41923758387565613,-0.41923758387565613,0.9039580821990967,-0.5512202978134155,0.44557416439056396,0.5,0.8881829380989075,0.11181706935167313,107.484375,3741152,
0.49828004837036133,0.3948945701122284,0.3948945701122284,0.3948945701122284,0.9039580821990967,0.5512202978134155,0.44557416439056396,0.5,0.13435691595077515,0.8656430840492249,101.6787109375,3539022,
-0.47974732518196106,-0.3800192177295685,-0.3800192177295685,-0.3800192177295685,0.5916112065315247,-0.810916543006897,-0.34633898735046387,0.5,0.8518696427345276,0.1481303721666336,91.0068359375,3167470,
-0.5026333928108215,-0.3897401988506317,-0.3897401988506317,-0.3897401988506317,0.7179379463195801,-0.7001070380210876,-0.11494878679513931,0.5,0.8608705401420593,0.13912945985794067,90.3671875,3145200,
0.017938248813152313,0.002819889457896352,0.002819889457896352,0.002819889457896352,-0.05708052217960358,-0.31426218152046204,-0.7363120913505554,0.5,0.49738895893096924,0.5026110410690308,69.6767578125,2424842,
0.0,-0.0159150417894125,-0.0159150417894125,-0.0159150417894125,1.1528570652008057,0.0,-0.5841057300567627,0.5,0.5147361755371094,0.485263854265213,130.943359375,4557900,
-0.4816945493221283,-0.3961453139781952,-0.3961453139781952,-0.3961453139781952,0.8774619102478027,-0.5489634871482849,-0.3326731026172638,0.5,0.8668012022972107,0.1331987977027893,103.5048828125,3602602,
0.5210404992103577,0.42116934061050415,0.42116934061050415,0.42116934061050415,0.7490298748016357,0.6956204175949097,-0.3439916968345642,0.5,0.11002838611602783,0.8899716138839722,92.6220703125,3223706,
-0.0,-0.044642116874456406,-0.044642116874456406,-0.044642116874456406,-0.2957741916179657,0.0,-0.6689674854278564,0.5,0.5413352847099304,0.4586647152900696,66.0048828125,2297002,
0.3708835244178772,0.3303709328174591,0.3303709328174591,0.3303709328174591,-0.6236332058906555,-0.5947142243385315,-0.33049750328063965,0.5,0.1941009759902954,0.8058990240097046,62.8701171875,2187862,
-0.3708835244178772,-0.3617803454399109,-0.3617803454399109,-0.3617803454399109,-0.6236332058906555,0.5947142243385315,-0.33049750328063965,0.5,0.8349817991256714,0.1650182157754898,64.3212890625,2238386,
0.4619397521018982,0.36260974407196045,0.36260974407196045,0.36260974407196045,0.8314695954322815,0.5555702447891235,0.0,0.5,0.16425025463104248,0.8357497453689575,99.5205078125,3463882,
0.5210404992103577,0.41209840774536133,0.41209840774536133,0.41209840774536133,0.7490298748016357,0.6956204175949097,0.3439916968345642,0.5,0.11842739582061768,0.8815726041793823,92.142578125,3207012,
0.4816945493221283,0.3828115463256836,0.3828115463256836,0.3828115463256836,0.8774619102478027,0.5489634871482849,-0.3326731026172638,0.5,0.1455448865890503,0.8544551134109497,102.0927734375,3553438,
0.5167487859725952,0.38481518626213074,0.38481518626213074,0.38481518626213074,0.9294512867927551,0.5559718608856201,-0.5678685307502747,0.5,0.14368969202041626,0.8563103079795837,110.474609375,3845260,
0.20898206532001495,0.1917889416217804,0.1917889416217804,0.1917889416217804,1.0745519399642944,0.1944829821586609,-0.451192170381546,0.5,0.32241761684417725,0.6775823831558228,118.15625,4112704,
-0.06129312142729759,-0.06370779871940613,-0.06370779871940613,-0.06370779871940613,-0.06757162511348724,0.9070837497711182,-0.368548184633255,0.5,0.5589886903762817,0.44101130962371826,69.8994140625,2432594,
0.4619397521018982,0.40911152958869934,0.40911152958869934,0.40911152958869934,-0.5555702447891235,-0.8314695954322815,0.0,0.5,0.12119299173355103,0.878807008266449,68.1748046875,2372550,
0.13703720271587372,0.13744455575942993,0.13744455575942993,0.13744455575942993,-0.26816877722740173,-0.511011004447937,0.5941444635391235,0.5,0.37273651361465454,0.6272634863853455,66.865234375,2326956,
0.13703720271587372,0.12436141818761826,0.12436141818761826,0.12436141818761826,-0.26816877722740173,-0.511011004447937,-0.5941444635391235,0.5,0.38485056161880493,0.6151494383811951,74.3701171875,2588246,
-0.5167487859725952,-0.43116679787635803,-0.43116679787635803,-0.43116679787635803,0.9294512867927551,-0.5559718608856201,0.5678685307502747,0.5,0.8992285132408142,0.10077150166034698,104.55078125,3639016,
-0.0938272476196289,-0.06810999661684036,-0.06810999661684036,-0.06810999661684036,0.4571378231048584,-0.2052493691444397,0.90751713514328,0.5,0.5630648136138916,0.4369351863861084,93.125,3241216,
-0.23257365822792053,-0.18839073181152344,-0.18839073181152344,-0.18839073181152344,1.1181167364120483,-0.20800480246543884,0.5660656094551086,0.5,0.6744358539581299,0.3255641460418701,132.572265625,4614612,
-0.0,-0.009100813418626785,-0.009100813418626785,-0.009100813418626785,-0.2957741916179657,0.0,0.6689674854278564,0.5,0.5084266662597656,0.4915733337402344,63.240234375,2200748,
0.3076164424419403,0.27254584431648254,0.27254584431648254,0.27254584431648254,-0.7358023524284363,-0.41806939244270325,0.3315708041191101,0.5,0.24764269590377808,0.7523573040962219,57.73828125,2009192,
-0.3076164424419403,-0.259203165769577,-0.259203165769577,-0.259203165769577,-0.7358023524284363,0.41806939244270325,0.3315708041191101,0.5,0.7400029301643372,0.25999706983566284,63.9931640625,2226962,
0.47974732518196106,0.40331465005874634,0.40331465005874634,0.40331465005874634,0.5916112065315247,0.810916543006897,0.34633898735046387,0.5,0.1265605092048645,0.8734394907951355,92.0859375,3205040,
0.05953477323055267,0.06799424439668655,0.06799424439668655,0.06799424439668655,0.11551413685083389,0.5153895020484924,0.7400273680686951,0.5,0.43704235553741455,0.5629576444625854,75.958984375,2643564,
0.4680372178554535,0.35045185685157776,0.35045185685157776,0.35045185685157776,0.5679612755775452,0.8240653872489929,0.11662459373474121,0.5,0.1755075454711914,0.8244924545288086,80.35546875,2796632,
-0.4619397521018982,-0.3460617661476135,-0.3460617661476135,-0.3460617661476135,-0.8314695954322815,0.5555702447891235,0.0,0.5,0.8204275369644165,0.1795724481344223,63.96484375,2225976,
-0.16784287989139557,-0.13895584642887115,-0.13895584642887115,-0.13895584642887115,-0.8157755732536316,0.2057463824748993,0.3266535699367523,0.5,0.6286628246307373,0.3713372051715851,66.6953125,2321040,
-0.10343289375305176,-0.06897686421871185,-0.06897686421871185,-0.06897686421871185,-0.5144404768943787,0.2010590136051178,-0.5464223027229309,0.5,0.563867449760437,0.4361325204372406,63.376953125,2205508,
-0.4619397521018982,-0.3511674106121063,-0.3511674106121063,-0.3511674106121063,0.8314695954322815,-0.5555702447891235,0.0,0.5,0.8251550197601318,0.17484501004219055,92.2041015625,3209154,
-0.46804845333099365,-0.34543344378471375,-0.34543344378471375,-0.34543344378471375,0.8565521836280823,-0.5464330911636353,0.22036509215831757,0.5,0.8198457956314087,0.1801542341709137,103.5859375,3605424,
-0.46804845333099365,-0.36560264229774475,-0.36560264229774475,-0.36560264229774475,0.8565521836280823,-0.5464330911636353,-0.22036509215831757,0.5,0.8385209441184998,0.16147904098033905,108.701171875,3783516,
0.0,-0.008454931899905205,-0.008454931899905205,-0.008454931899905205,1.1528570652008057,0.0,0.5841057300567627,0.5,0.5078285932540894,0.49217137694358826,126.4423828125,4401194,
-0.24261094629764557,-0.17541532218456268,-0.17541532218456268,-0.17541532218456268,1.1642032861709595,-0.20839224755764008,0.677026629447937,0.5,0.6624215841293335,0.3375783860683441,137.958984375,4802156,
0.40938717126846313,0.3039965033531189,0.3039965033531189,0.3039965033531189,1.0435922145843506,0.3922865390777588,0.5607333183288574,0.5,0.21852177381515503,0.781478226184845,116.08203125,4040488,
-0.5167487859725952,-0.3955637812614441,-0.3955637812614441,-0.3955637812614441,0.9294512867927551,-0.5559718608856201,-0.5678685307502747,0.5,0.8662627339363098,0.133737251162529,113.0244140625,3934034,
-0.23257365822792053,-0.2158774435520172,-0.2158774435520172,-0.2158774435520172,1.1181167364120483,-0.20800480246543884,-0.5660656094551086,0.5,0.6998865008354187,0.3001134991645813,123.01953125,4282024,
-0.0938272476196289,-0.06396494805812836,-0.06396494805812836,-0.06396494805812836,0.4571378231048584,-0.2052493691444397,-0.90751713514328,0.5,0.5592268109321594,0.4407731890678406,90.65234375,3155128,
